[2026-05-04T04:35:08.051Z] OPERATION: BULK_TRASH | COUNT: 1 | USER: ya29.a0AQv...
[2026-05-04T04:35:09.551Z] OPERATION: BULK_TRASH | COUNT: 1 | USER: ya29.a0AQv...
[2026-05-04T04:35:13.256Z] OPERATION: BULK_TRASH | COUNT: 1 | USER: ya29.a0AQv...
[2026-05-04T04:35:32.299Z] OPERATION: BULK_TRASH | COUNT: 1 | USER: ya29.a0AQv...
[2026-05-04T04:36:12.081Z] OPERATION: BULK_TRASH | COUNT: 1 | USER: ya29.a0AQv...
[2026-05-05T02:29:47.021Z] OPERATION: BULK_TRASH | COUNT: 1 | USER: ya29.a0AQv...
[2026-05-05T02:31:45.623Z] OPERATION: BULK_TRASH | COUNT: 1 | USER: ya29.a0AQv...
[2026-05-05T02:31:58.731Z] OPERATION: EMPTY_SPAM | COUNT: 1 | USER: ya29.a0AQv...
[2026-05-05T02:32:20.447Z] OPERATION: BULK_TRASH | COUNT: 1 | USER: ya29.a0AQv...
[2026-05-05T05:08:17.730Z] OPERATION: BULK_TRASH | COUNT: 1 | USER: ya29.a0AQv...
[2026-05-07T04:59:29.334Z] OPERATION: BULK_UNTRASH | COUNT: 1 | USER: ya29.a0AQv...
[2026-05-07T05:00:11.106Z] OPERATION: SCAN_SPAM | COUNT: 50 | USER: ya29.a0AQv...
[2026-05-07T05:00:14.190Z] OPERATION: SCAN_SPAM | COUNT: 50 | USER: ya29.a0AQv...
[2026-05-07T05:00:14.384Z] OPERATION: SCAN_SPAM | COUNT: 50 | USER: ya29.a0AQv...
[2026-05-07T05:00:14.600Z] OPERATION: SCAN_SPAM | COUNT: 50 | USER: ya29.a0AQv...
[2026-05-07T05:00:14.686Z] OPERATION: SCAN_SPAM | COUNT: 50 | USER: ya29.a0AQv...
[2026-05-07T05:00:15.114Z] OPERATION: SCAN_SPAM | COUNT: 50 | USER: ya29.a0AQv...
[2026-05-07T05:00:43.396Z] OPERATION: SCAN_SPAM | COUNT: 50 | USER: ya29.a0AQv...
[2026-05-07T05:00:43.739Z] OPERATION: SCAN_SPAM | COUNT: 50 | USER: ya29.a0AQv...
[2026-05-07T05:01:07.243Z] OPERATION: BULK_TRASH | COUNT: 1 | USER: ya29.a0AQv...
